ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
771 1967 2 3 54178 0 1 735161 79 135 9 39 4 0 7 1 2 2 5 2 0 0 0 0 0 0 3 11 0 
8996 1957 4 4 2 1 734729 4 230 42 192 49 37 53 12 7 2 8 9 0 0 0 0 0 0 3 11 0 
9235 1957 2 0 1 1 735287 45 7 0 8 2 0 1 1 1 0 2 7 0 0 0 0 0 0 3 11 0 
5798 1973 3 3 0 0 735098 87 445 37 359 98 28 18 1 2 4 8 1 0 0 0 0 0 0 3 11 0 
11178 1972 3 0 42394 1 0 735223 69 15 2 10 0 1 4 1 1 0 3 7 0 0 0 0 0 0 3 11 0 
2230 1970 4 4 23626 1 0 735284 84 27 2 14 0 0 0 3 3 1 3 5 0 0 0 0 0 0 3 11 0 
7516 1983 2 4 30096 1 0 735282 30 5 3 11 12 5 9 1 2 0 3 6 0 0 0 0 0 0 3 11 0 
7247 1960 2 2 47916 0 1 734732 72 505 0 26 0 0 75 5 7 4 6 6 0 1 0 0 0 0 3 11 0 
11100 1972 2 1 51813 1 1 734876 37 51 2 7 0 1 2 2 2 0 3 7 0 0 0 0 0 0 3 11 0 
4646 1951 1 4 78497 0 0 735106 44 207 26 447 75 0 223 1 5 7 12 2 0 0 0 1 0 0 3 11 0 
3037 1983 4 4 50150 0 0 734945 32 135 46 92 65 61 11 2 5 2 7 5 0 0 0 0 0 0 3 11 0 
1473 1960 1 0 47823 0 1 734978 0 53 1 5 2 1 10 2 2 0 3 8 0 0 0 0 0 0 3 11 0 
1016 1959 4 0 34554 0 1 735230 43 41 1 6 2 0 5 2 2 0 3 6 0 0 0 0 0 0 3 11 0 
4518 1979 2 3 85693 0 1 734885 59 386 172 183 185 132 111 2 9 5 11 5 0 0 0 0 0 0 3 11 0 
9370 1945 4 4 65846 0 0 734912 68 562 81 276 80 40 81 1 6 3 6 4 0 0 0 0 0 0 3 11 0 
8908 1959 2 4 87195 0 0 735268 35 217 76 690 50 26 38 1 3 11 5 1 0 0 0 0 0 0 3 11 1 
8373 1979 0 3 24594 1 0 735115 94 1 3 6 10 0 9 1 1 0 3 5 0 0 0 0 0 0 3 11 0 
7533 1964 2 4 49096 1 1 735039 15 144 1 32 2 1 7 4 4 1 4 7 0 0 0 0 0 0 3 11 0 
2683 1969 2 4 52413 0 2 734807 56 295 106 271 75 98 65 4 6 4 12 6 0 0 0 0 0 0 3 11 0 
3629 1978 2 0 38557 1 0 734759 17 76 3 31 4 4 27 2 3 1 3 7 0 0 0 0 0 0 3 11 0 
10991 1960 3 4 89058 0 0 734747 18 454 194 106 31 22 43 1 5 4 4 2 0 0 0 0 0 0 3 11 0 
5077 1979 2 3 77298 0 1 735077 46 425 115 292 23 35 79 1 6 6 11 3 0 0 0 0 0 0 3 11 0 
7431 1991 4 0 68126 0 0 734720 40 1332 17 311 23 51 86 1 7 4 5 9 0 1 0 0 0 0 3 11 1 
3267 1963 3 3 57288 0 1 735315 27 527 0 21 0 0 60 3 8 1 8 6 0 1 0 0 0 0 3 11 0 
999 1991 2 0 86037 0 0 734777 95 490 44 125 29 20 22 1 6 7 11 3 0 1 1 0 0 0 3 11 1 
9215 1980 4 4 43974 1 0 734752 19 378 0 101 0 0 72 5 6 4 6 7 0 0 0 0 0 0 3 11 0 
2286 1962 2 0 50785 1 1 735025 27 64 1 21 0 1 27 2 2 1 3 6 0 0 0 0 0 0 3 11 0 
1592 1970 2 4 90765 0 0 735164 25 547 99 812 151 82 33 0 4 6 5 1 0 0 1 1 0 0 3 11 0 
367 1978 1 4 36550 1 0 734824 74 47 90 94 123 103 120 5 9 1 5 9 0 0 0 0 0 0 3 11 0 
5234 1967 1 3 30753 1 1 734966 85 12 5 25 0 9 30 2 1 1 3 5 0 0 0 0 0 0 3 11 0 
9862 1969 2 3 21918 1 0 735089 37 1 6 7 11 5 3 2 2 0 3 6 0 0 0 0 0 0 3 11 0 
9805 1953 3 3 56129 0 1 734945 65 320 48 133 39 72 48 4 6 2 10 4 0 0 0 0 0 0 3 11 0 
6205 1967 3 0 32557 1 0 735194 13 34 3 29 0 4 10 3 2 1 3 5 0 0 0 0 0 0 3 11 1 
8442 1985 3 4 19510 2 0 735019 63 9 0 7 3 4 7 2 1 0 3 7 0 0 0 0 0 0 3 11 0 
7386 1976 2 1 30992 1 0 734887 83 17 0 14 7 3 2 1 1 0 3 7 0 0 0 0 0 0 3 11 0 
7215 1983 2 0 101970 0 0 734847 69 722 27 102 44 72 168 0 6 8 13 2 0 1 1 1 0 0 3 11 1 
1491 1965 1 3 71488 0 0 734823 87 162 33 124 40 28 172 2 3 4 7 1 0 0 0 0 0 0 3 11 0 
11071 1984 2 0 79607 0 0 734886 37 450 133 951 173 0 216 1 3 6 6 1 0 0 0 0 0 0 3 11 1 
3381 1953 3 4 54348 1 1 735298 51 70 0 16 0 0 4 2 2 0 4 6 0 0 0 0 0 0 3 11 0 
8268 1961 4 4 0 1 734966 23 352 0 27 10 0 15 3 6 1 7 6 0 0 0 0 0 0 3 11 0 
11051 1956 4 3 77376 1 1 735270 72 492 19 110 16 12 12 4 6 3 10 4 0 0 0 0 0 0 3 11 0 
8026 1952 2 4 62998 0 1 735045 10 120 58 73 65 89 58 5 5 4 5 5 0 0 0 0 0 0 3 11 0 
433 1958 3 0 61331 1 1 734845 42 534 5 47 0 5 41 5 11 1 6 8 0 0 0 0 0 0 3 11 0 
9597 1969 2 4 73448 0 0 735180 10 236 106 189 23 41 130 1 7 2 9 4 0 0 0 0 0 0 3 11 0 
1295 1963 2 4 0 1 734996 96 231 65 196 38 71 124 1 6 5 7 4 0 0 0 0 0 0 3 11 0 
5290 1964 4 4 41551 1 1 734999 51 220 0 33 3 0 23 5 5 1 5 8 0 0 0 0 0 0 3 11 0 
1685 1967 4 3 62981 0 0 734852 21 796 14 590 38 44 0 1 4 5 13 3 0 1 0 0 0 0 3 11 0 
5342 1976 0 1 9548 1 0 734628 31 0 1 3 10 6 9 2 1 0 3 8 0 0 0 0 0 0 3 11 0 
9579 1959 4 4 33762 2 1 734962 61 53 1 34 2 0 16 3 2 2 2 8 0 0 0 0 0 0 3 11 0 
7660 1973 4 0 35860 1 1 735279 37 15 0 8 4 2 20 2 1 1 2 5 1 0 0 0 0 0 3 11 1 
1461 1965 4 1 36921 1 1 734983 74 17 1 12 3 1 4 2 2 0 3 7 0 0 0 0 0 0 3 11 0 
821 1992 3 0 92859 0 0 734699 46 962 61 921 52 61 20 1 5 4 12 2 0 0 0 0 0 0 3 11 0 
11084 1976 3 3 65104 0 1 735089 4 738 0 232 13 20 50 2 3 5 7 7 0 0 0 0 0 0 3 11 1 
8690 1962 2 4 86111 0 0 734884 73 399 28 756 36 40 126 1 5 7 10 2 0 0 0 0 0 0 3 11 0 
2937 1974 4 0 68352 0 1 735013 47 614 16 132 43 33 33 3 8 5 9 6 0 0 0 0 0 0 3 11 0 
9701 1988 2 3 41883 1 0 734854 13 32 34 41 73 16 116 3 4 2 3 7 0 0 0 0 0 0 3 11 0 
9949 1976 2 4 59809 0 2 734698 36 598 16 141 32 41 49 3 3 3 6 8 0 0 0 0 0 0 3 11 0 
10837 1975 2 4 23957 1 0 734708 47 2 1 18 20 11 16 1 2 0 3 6 0 0 0 0 0 0 3 11 1 
3120 1981 2 3 38547 1 0 735013 49 6 1 10 0 1 4 1 1 0 2 8 0 0 0 0 0 1 3 11 0 
5885 1973 1 4 35688 2 1 734642 94 73 3 90 12 1 32 7 4 1 4 8 0 0 0 0 0 0 3 11 0 
4050 1966 3 4 49605 0 0 735311 65 42 16 29 12 20 8 1 2 1 4 3 0 0 0 0 0 0 3 11 0 
3830 1953 3 4 59354 0 2 735254 59 295 21 78 39 13 13 1 4 4 7 3 0 0 0 0 0 0 3 11 0 
7987 1969 2 4 65747 0 1 735207 96 346 17 48 23 13 13 4 8 1 6 6 0 1 0 0 0 0 3 11 0 
7798 1972 1 3 46344 0 1 734754 28 233 20 57 8 20 91 4 7 1 5 7 0 0 0 0 0 0 3 11 0 
92 1988 2 0 34176 1 0 735272 12 5 7 24 19 14 20 4 3 0 4 6 0 0 0 0 0 0 3 11 0 
7055 1952 4 3 61010 0 1 734689 57 888 0 57 0 0 76 2 8 5 11 5 0 0 0 0 0 0 3 11 0 
10240 1949 2 3 69372 0 0 734824 10 997 26 269 34 13 42 1 10 4 6 4 0 1 1 0 0 0 3 11 1 
3025 1958 2 0 49967 0 1 734963 4 212 6 69 4 12 3 3 6 1 5 7 0 0 0 0 0 0 3 11 0 
9283 1978 2 0 60199 1 2 735027 49 8 1 7 2 0 0 1 0 0 3 4 0 0 0 0 0 0 3 11 0 
9970 1977 2 3 55375 0 1 735062 3 42 11 57 10 28 14 1 1 1 6 2 0 0 0 0 0 0 3 11 0 
2730 1955 2 0 80317 0 0 735005 64 536 11 387 149 91 57 1 3 4 10 1 0 0 0 0 0 0 3 11 0 
2795 1958 3 0 30523 2 1 734956 0 5 0 3 0 0 5 1 1 0 2 7 0 0 0 0 0 0 3 11 0 
9260 1945 4 4 70356 0 0 734715 20 1349 16 249 43 16 33 2 10 6 9 6 0 0 0 0 0 0 3 11 0 
8182 1984 2 4 23228 1 0 735145 91 53 3 49 7 4 5 4 3 0 4 8 0 0 0 0 0 0 3 11 0 
10095 1975 4 1 74165 0 0 734896 9 1001 12 240 16 12 12 1 5 4 10 2 0 0 0 0 0 0 3 11 0 
8475 1973 4 4 157243 0 1 735201 98 20 2 1582 1 2 1 15 0 22 0 0 0 0 0 0 0 0 3 11 0 
4370 1966 2 3 43482 2 1 735088 83 18 1 32 6 3 28 3 2 0 4 6 0 0 0 0 0 0 3 11 0 
10573 1953 2 1 62551 0 0 735093 27 125 16 98 134 21 27 1 6 7 4 3 1 0 0 0 0 0 3 11 0 
3712 1959 2 1 52332 0 0 735013 63 212 5 33 7 0 2 1 3 2 6 4 0 1 0 0 0 0 3 11 0 
6637 1988 2 0 66951 0 0 735077 46 277 162 305 173 76 124 1 3 4 7 1 0 0 0 0 0 0 3 11 0 
3152 1957 2 3 26091 1 1 735195 84 15 10 19 8 17 20 3 2 1 3 5 0 0 0 0 0 0 3 11 0 
5610 1965 2 3 33456 1 1 735251 58 7 3 10 8 1 7 2 1 0 3 7 0 0 0 0 0 0 3 11 0 
6460 1982 2 4 28718 1 0 734968 78 12 4 6 11 8 16 2 2 0 3 8 0 0 0 0 0 0 3 11 0 
1349 1970 2 4 50447 2 0 735251 4 85 7 24 2 3 27 1 3 1 3 6 0 0 0 0 0 0 3 11 0 
1880 1959 4 3 53537 1 1 735170 17 81 0 6 0 0 6 2 2 1 3 5 0 0 0 0 0 0 3 11 0 
641 1967 2 0 52074 0 1 735234 77 59 0 12 0 0 48 1 2 2 2 4 1 0 0 0 0 0 3 11 0 
8717 1975 4 4 80427 0 1 734662 56 1149 71 449 69 71 26 1 11 8 8 5 0 0 0 0 0 0 3 11 0 
10314 1948 4 4 83837 0 0 734756 79 847 66 119 86 89 111 1 9 10 5 4 0 1 0 1 0 0 3 11 1 
10854 1970 4 4 38853 1 1 735283 90 29 0 14 0 0 2 2 2 0 3 7 0 0 0 0 0 0 3 11 0 
10492 1959 2 3 38285 2 1 735314 96 2 0 5 2 0 1 1 0 0 3 2 0 0 0 0 0 0 3 11 0 
6935 1951 1 4 78497 0 0 735106 44 207 26 447 75 0 223 1 5 7 12 2 0 0 0 1 0 0 3 11 0 
7698 1976 4 4 51650 0 1 735271 81 152 3 22 2 5 7 1 4 1 4 5 0 0 0 0 0 0 3 11 0 
3559 1988 1 4 16248 1 0 735270 77 12 11 10 3 12 9 3 2 1 3 6 0 0 0 0 0 0 3 11 0 
10562 1946 3 4 66835 0 0 735043 21 620 26 195 34 17 141 1 6 4 13 2 0 0 0 0 0 0 3 11 0 
10796 1984 3 4 30477 1 0 735162 16 47 1 6 0 0 12 1 1 1 3 6 0 0 0 0 0 0 3 11 0 
2563 1961 0 4 28249 0 0 735305 80 1 9 7 2 14 10 1 2 0 3 6 0 0 0 0 0 0 3 11 0 
3518 1983 2 4 25271 1 0 734745 45 10 1 18 10 4 7 1 1 1 2 9 0 0 0 0 0 0 3 11 0 
5823 1970 4 0 32303 0 1 735208 63 35 0 2 0 0 2 2 1 0 4 5 0 0 0 0 0 0 3 11 0 
3934 1966 2 4 61286 0 1 734987 34 356 0 107 19 9 117 2 7 1 8 5 0 0 0 0 0 0 3 11 0 
6982 1976 2 4 74068 0 0 734854 14 783 30 537 140 76 15 1 4 10 9 2 0 0 0 0 0 0 3 11 0 
6431 1964 4 4 45759 1 1 734828 13 42 1 18 3 0 4 2 2 0 3 7 0 0 0 0 0 0 3 11 0 
9733 1978 0 3 24882 1 0 734659 52 1 4 10 29 0 36 1 1 1 2 6 1 0 0 0 0 0 3 11 0 
5602 1989 4 3 66973 0 0 734912 98 466 22 432 147 113 102 1 8 7 12 3 0 0 0 0 0 0 3 11 0 
7829 1900 1 1 36640 1 0 735041 99 15 6 8 7 4 25 1 2 1 2 5 0 0 0 0 0 1 3 11 0 
1324 1988 2 4 38872 1 0 734925 93 23 3 21 3 19 22 2 3 0 3 8 0 0 0 0 0 0 3 11 0 
326 1973 2 4 51148 1 1 734823 38 235 6 45 8 9 12 4 5 1 6 6 0 0 0 0 0 0 3 11 0 
7224 1977 2 4 31353 1 1 735134 24 10 0 10 3 1 7 2 1 1 2 8 0 0 0 0 0 0 3 11 0 
6999 1980 3 4 69661 0 0 735273 80 656 16 106 32 16 8 1 7 3 12 3 0 0 0 0 0 0 3 11 0 
9938 1954 2 4 80067 0 0 735034 82 519 17 813 27 173 51 1 4 6 6 2 0 0 1 0 0 0 3 11 0 
6422 1954 2 4 86718 0 0 734792 20 344 189 482 50 33 172 1 5 6 5 2 0 0 0 0 0 0 3 11 0 
3182 1973 4 0 46854 1 1 735231 81 96 1 79 7 1 79 6 5 1 3 8 1 0 0 0 0 0 3 11 1 
7300 1952 2 1 69142 0 1 735319 50 448 4 34 6 4 39 3 8 1 7 5 0 1 0 0 0 0 3 11 0 
10424 1968 2 0 75922 0 0 735114 60 265 138 553 224 23 92 1 4 4 9 1 0 0 0 0 0 0 3 11 0 
8727 1978 2 1 63693 0 1 735059 63 587 43 337 42 87 54 3 11 6 9 6 0 0 0 0 0 0 3 11 0 
2798 1977 4 3 102160 0 0 734712 54 763 29 138 76 176 58 0 7 9 10 4 0 1 1 1 0 0 3 11 1 
1030 1965 4 0 40637 1 1 734972 72 22 0 13 0 0 3 2 1 0 3 7 0 0 0 0 0 0 3 11 0 
624 1984 3 0 18890 0 0 734720 5 6 4 1 7 2 15 1 0 1 2 6 1 0 0 0 0 0 3 11 1 
5176 1988 2 3 29604 1 0 735113 88 7 6 13 7 6 14 1 1 0 3 9 1 0 0 0 0 0 3 11 0 
5552 1963 3 1 48721 1 1 734908 50 81 18 113 47 13 21 6 4 2 5 6 0 0 0 0 0 0 3 11 0 
868 1966 2 4 44794 0 1 735298 99 54 0 7 0 0 4 1 2 0 3 6 0 0 0 0 0 0 3 11 0 
380 1954 2 1 64497 0 1 734660 17 1170 48 320 42 32 192 5 11 4 9 8 1 0 0 0 0 0 3 11 1 
2677 1956 2 3 46097 0 1 734866 11 72 24 68 65 4 8 5 3 1 6 4 0 0 0 0 0 0 3 11 0 
6521 1954 2 3 77972 0 0 735218 18 613 22 319 33 102 12 1 4 6 9 1 0 0 0 0 0 0 3 11 0 
6927 1968 4 4 44377 1 1 734685 70 224 0 30 0 0 10 8 5 1 5 8 0 0 0 0 0 0 3 11 0 
2877 1974 3 3 46014 1 1 734796 21 410 0 59 19 9 44 10 7 1 8 7 0 0 0 0 0 0 3 11 0 
0 1985 2 4 70951 0 0 734899 66 239 10 554 254 87 54 1 3 4 9 1 0 0 0 0 0 0 3 11 0 
1584 1977 2 4 41443 1 0 735231 79 171 7 171 25 19 89 6 8 1 5 8 0 0 0 0 0 0 3 11 0 
